Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Allergenic properties	Biotechnological use	Involvement in disease	Disruption phenotype	Mutagenesis	Cross-reference (IntAct)	Cross-reference (STRING)	Cross-reference (PDB)
P63103	1433Z_BOVIN	reviewed	14-3-3 protein zeta/delta (Factor activating exoenzyme S) (FAS) (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	Bos taurus (Bovine)	245						P63103;	9913.ENSBTAP00000000289;	1A37;1A38;1A4O;2V7D;
Q06121	TRPC_SACS2	reviewed	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	trpC SSO0895	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	248							273057.SSO0895;	1A53;1IGS;1JUK;1JUL;1LBF;1LBL;2C3Z;3NYZ;3NZ1;3TC6;3TC7;4A29;4A2R;4A2S;4IWW;4IX0;4LNY;4OU1;5AN7;5AOU;5K7J;6NW4;
P13489	RINI_HUMAN	reviewed	Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI)	RNH1 PRI RNH	Homo sapiens (Human)	461					"MUTAGEN 262;  /note=""W->A: Binding affinity decreased 5000-fold over the wild type for RNASE2; when associated with A-264 and A-319."";  /evidence=""ECO:0000269|PubMed:12578357""; MUTAGEN 264;  /note=""W->A: Substantially decreased binding affinity for RNASE2. Binding affinity decreased 5000-fold over the wild type for RNASE2; when associated with A-262 and A-319."";  /evidence=""ECO:0000269|PubMed:12578357""; MUTAGEN 319;  /note=""W->A: Substantially decreased binding affinity for RNASE2. Binding affinity decreased 5000-fold over the wild type for RNASE2; when associated with A-262 and A-264."";  /evidence=""ECO:0000269|PubMed:12578357""; MUTAGEN 376;  /note=""W->A: 40-fold reduction in binding affinity for RNASE2."";  /evidence=""ECO:0000269|PubMed:15755456""; MUTAGEN 435..436;  /note=""YD->AA: Substantially decreases binding affinity for RNASE1, ANG and RNASE2."";  /evidence=""ECO:0000269|PubMed:10413501, ECO:0000269|PubMed:12578357""; MUTAGEN 458;  /note=""R->A: 25-fold reduction in binding affinity for RNASE2."";  /evidence=""ECO:0000269|PubMed:15755456""; MUTAGEN 461;  /note=""Missing: A significant decrease in binding affinity with RNASE1, slight decrease for the ANG ligand, no real change in binding affinity for RNASE2."";  /evidence=""ECO:0000269|PubMed:12578357, ECO:0000269|PubMed:9050852"""	P13489;	9606.ENSP00000433999;	1A4Y;1Z7X;2BEX;2Q4G;
P20436	RPAB3_YEAST	reviewed	DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (ABC14.4) (ABC14.5) (DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide)	RPB8 YOR224C YOR50-14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146						P20436;	4932.YOR224C;	1A1D;1I3Q;1I50;1I6H;1K83;1NIK;1NT9;1PQV;1R5U;1R9S;1R9T;1SFO;1TWA;1TWC;1TWF;1TWG;1TWH;1WCM;1Y1V;1Y1W;1Y1Y;1Y77;2B63;2B8K;2E2H;2E2I;2E2J;2JA5;2JA6;2JA7;2JA8;2NVQ;2NVT;2NVX;2NVY;2NVZ;2R7Z;2R92;2R93;2VUM;2YU9;3CQZ;3FKI;3GTG;3GTJ;3GTK;3GTL;3GTM;3GTO;3GTP;3GTQ;3H3V;3HOU;3HOV;3HOW;3HOX;3HOY;3HOZ;3I4M;3I4N;3J0K;3J1N;3K1F;3K7A;3M3Y;3M4O;3PO2;3PO3;3QT1;3RZD;3RZO;3S14;3S15;3S16;3S17;3S1M;3S1N;3S1Q;3S1R;3S2D;3S2H;4A3B;4A3C;4A3D;4A3E;4A3F;4A3G;4A3I;4A3J;4A3K;4A3L;4A3M;4A93;4BBR;4BBS;4BXX;4BXZ;4BY1;4BY7;4C2M;4C3H;4C3I;4C3J;4V1M;4V1N;4V1O;4X67;4X6A;4Y52;4Y7N;4YM7;5C3E;5C44;5C4A;5C4J;5C4X;5FJ8;5FJ9;5FJA;5FMF;5FYW;5FZ5;5G5L;5IP7;5IP9;5LMX;5M3F;5M3M;5M5W;5M5X;5M5Y;5M64;5N5Y;5N5Z;5N60;5N61;5OA1;5OQJ;5OQM;5OT2;5SVA;5U5Q;5VVR;5VVS;5W4U;5W51;5W5Y;5W64;5W65;5W66;6BLO;6BLP;6BM2;6BM4;6BQF;6CNB;6CNC;6CND;6CNF;6EU0;6EU1;6EU2;6EU3;6F40;6F41;6F42;6F44;6GYK;6GYL;6GYM;6H67;6H68;6HKO;6HLQ;6HLR;6HLS;6I84;6O6C;6RQH;6RQL;6RQT;6RRD;6RUI;6RUO;6RWE;6TPS;6TUT;6UPX;6UPY;6UPZ;6UQ0;6UQ1;6UQ2;6UQ3;7KED;7KEE;7KEF;7O4I;7O4J;7O72;7O73;7O75;
P02693	FABPI_RAT	reviewed	Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)	Fabp2 Fabpi	Rattus norvegicus (Rat)	132					"MUTAGEN 45;  /note=""G->V: Small reduction in stability, impaired ligand binding."";  /evidence=""ECO:0000269|PubMed:10082380""; MUTAGEN 55;  /note=""N->V: No reduction in stability."";  /evidence=""ECO:0000269|PubMed:10082380""; MUTAGEN 61;  /note=""V->N: Reduced thermodynamic stability."";  /evidence=""ECO:0000269|PubMed:10692339""; MUTAGEN 66;  /note=""G->V: Large reduction in stability."";  /evidence=""ECO:0000269|PubMed:10082380""; MUTAGEN 76;  /note=""G->V: Reduced stability."";  /evidence=""ECO:0000269|PubMed:10082380""; MUTAGEN 81;  /note=""G->V: Large reduction in stability."";  /evidence=""ECO:0000269|PubMed:10082380""; MUTAGEN 87;  /note=""G->V: No reduction in stability, impaired ligand binding."";  /evidence=""ECO:0000269|PubMed:10082380""; MUTAGEN 98;  /note=""D->V: Reduced stability."";  /evidence=""ECO:0000269|PubMed:10082380""; MUTAGEN 100;  /note=""G->V: Large reduction in stability."";  /evidence=""ECO:0000269|PubMed:10082380""; MUTAGEN 111;  /note=""G->V: Small reduction in stability, impaired ligand binding."";  /evidence=""ECO:0000269|PubMed:10082380""; MUTAGEN 122;  /note=""G->V: Large reduction in stability."";  /evidence=""ECO:0000269|PubMed:10082380"""		10116.ENSRNOP00000030244;	1A57;1AEL;1DC9;1ICM;1ICN;1IFB;1IFC;1SA8;1T8V;1URE;2IFB;3AKN;
P00929	TRPA_SALTY	reviewed	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA STM1727	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	268						P00929;		1A50;1A5A;1A5B;1A5S;1BEU;1BKS;1C29;1C8V;1C9D;1CW2;1CX9;1FUY;1K3U;1K7E;1K7F;1K7X;1K8X;1K8Y;1K8Z;1KFB;1KFC;1KFE;1KFJ;1KFK;1QOP;1QOQ;1TJP;1TTP;1TTQ;1UBS;1WBJ;2CLE;2CLF;2CLH;2CLI;2CLK;2CLL;2CLM;2CLO;2J9X;2J9Y;2J9Z;2RH9;2RHG;2TRS;2TSY;2TYS;2WSY;3CEP;3PR2;4HN4;4HPJ;4HPX;4HT3;4KKX;4WX2;4XUG;4Y6G;4ZQC;5BW6;5CGQ;6C73;6D0V;6DUC;6DZ4;6DZO;6O1H;6OSO;6OUY;6VFD;6VNT;6WDU;6X0C;6XE3;
P06632	DKGA_CORSC	reviewed	2,5-diketo-D-gluconic acid reductase A (2,5-DKG reductase A) (2,5-DKGR A) (25DKGR-A) (EC 1.1.1.346) (AKR5C)	dkgA	Corynebacterium sp. (strain ATCC 31090)	278		BIOTECHNOLOGY: Introduced by genetic manipulation and expressed in Erwinia herbicola by Anderson et al. The resultant organism is able to convert in a single fermentative step D-glucose into 2-keto-L-gulonic acid, a key precursor in the industrial production of L-ascorbic acid (vitamin C). However, the technology still needs some working on and is not used in commercial production at present.			"MUTAGEN 22;  /note=""F->Y: Tighter binding of NADH.""; MUTAGEN 232;  /note=""K->G: Tighter binding of NADH.""; MUTAGEN 238;  /note=""R->H: Tighter binding of NADH.""; MUTAGEN 272;  /note=""A->G: Tighter binding of NADH."""			1A80;1HW6;1M9H;
P42771	CDN2A_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 2A (Cyclin-dependent kinase 4 inhibitor A) (CDK4I) (Multiple tumor suppressor 1) (MTS-1) (p16-INK4a) (p16-INK4) (p16INK4A)	CDKN2A CDKN2 MTS1	Homo sapiens (Human)	156			DISEASE: Note=The association between cutaneous and uveal melanomas in some families suggests that mutations in CDKN2A may account for a proportion of uveal melanomas. However, CDKN2A mutations are rarely found in uveal melanoma patients.; DISEASE: Melanoma, cutaneous malignant 2 (CMM2) [MIM:155601]: A malignant neoplasm of melanocytes, arising de novo or from a pre-existing benign nevus, which occurs most often in the skin but also may involve other sites. {ECO:0000269|PubMed:10651484, ECO:0000269|PubMed:10874641, ECO:0000269|PubMed:11506491, ECO:0000269|PubMed:12019208, ECO:0000269|PubMed:14646619, ECO:0000269|PubMed:19260062, ECO:0000269|PubMed:7987387, ECO:0000269|PubMed:8595405, ECO:0000269|PubMed:8653684, ECO:0000269|PubMed:8710906, ECO:0000269|PubMed:9328469, ECO:0000269|PubMed:9425228}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Familial atypical multiple mole melanoma-pancreatic carcinoma syndrome (FAMMMPC) [MIM:606719]: An inherited cancer predisposition syndrome characterized by an increased risk of developing malignant melanoma and/or pancreatic cancer. Mutation carriers within families may develop either or both types of cancer. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Melanoma-astrocytoma syndrome (MASTS) [MIM:155755]: Characterized by a dual predisposition to melanoma and neural system tumors, commonly astrocytoma. {ECO:0000269|PubMed:11136714}. Note=The disease is caused by variants affecting the gene represented in this entry.			P42771;	9606.ENSP00000418915;	1A5E;1BI7;1DC2;2A5E;
P09661	RU2A_HUMAN	reviewed	U2 small nuclear ribonucleoprotein A' (U2 snRNP A')	SNRPA1	Homo sapiens (Human)	255					"MUTAGEN 15;  /note=""Y->D: Results in defective spliceosome assembly."";  /evidence=""ECO:0000269|PubMed:27035939""; MUTAGEN 27;  /note=""R->Q: No change in spliceosome assembly."";  /evidence=""ECO:0000269|PubMed:27035939""; MUTAGEN 68;  /note=""T->K: No change in spliceosome assembly."";  /evidence=""ECO:0000269|PubMed:27035939""; MUTAGEN 72;  /note=""N->K: No change in spliceosome assembly."";  /evidence=""ECO:0000269|PubMed:27035939""; MUTAGEN 73;  /note=""N->K: No change in spliceosome assembly."";  /evidence=""ECO:0000269|PubMed:27035939""; MUTAGEN 92;  /note=""E->V: Results in defective spliceosome assembly."";  /evidence=""ECO:0000269|PubMed:27035939""; MUTAGEN 148;  /note=""Q->R: Results in defective spliceosome assembly."";  /evidence=""ECO:0000269|PubMed:27035939"""	P09661;	9606.ENSP00000254193;	1A9N;5MQF;5O9Z;5XJC;5YZG;5Z56;5Z57;5Z58;6AH0;6AHD;6FF7;6ICZ;6ID0;6ID1;6QDV;6QX9;6Y53;6Y5Q;7A5P;7ABG;7ABI;
P14668	ANXA5_RAT	reviewed	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)	Anxa5 Anx5	Rattus norvegicus (Rat)	319						P14668;	10116.ENSRNOP00000019552;	1A8A;1A8B;1BC0;1BC1;1BC3;1BCW;1BCY;1BCZ;1G5N;1N41;1N42;1N44;2H0K;2H0L;2H0M;2IE6;2IE7;2RAN;
P26256	ANX12_HYDVU	reviewed	Annexin-B12 (Annexin XII) (Annexin-12)	ANXB12	Hydra vulgaris (Hydra) (Hydra attenuata)	316								1AEI;1DM5;
P07204	TRBM_HUMAN	reviewed	Thrombomodulin (TM) (Fetomodulin) (CD antigen CD141)	THBD THRM	Homo sapiens (Human)	575			DISEASE: Thrombophilia due to thrombomodulin defect (THPH12) [MIM:614486]: A hemostatic disorder characterized by a tendency to thrombosis. {ECO:0000269|PubMed:12139752, ECO:0000269|PubMed:7811989, ECO:0000269|PubMed:9198186}. Note=The disease may be caused by variants affecting the gene represented in this entry. The role of thrombomodulin in thrombosis is controversial. It is likely that genetic or environmental risk factors in addition to THBD variation are involved in the pathogenesis of venous thrombosis.; DISEASE: Hemolytic uremic syndrome atypical 6 (AHUS6) [MIM:612926]: An atypical form of hemolytic uremic syndrome. It is a complex genetic disease characterized by microangiopathic hemolytic anemia, thrombocytopenia, renal failure and absence of episodes of enterocolitis and diarrhea. In contrast to typical hemolytic uremic syndrome, atypical forms have a poorer prognosis, with higher death rates and frequent progression to end-stage renal disease. {ECO:0000269|PubMed:19625716, ECO:0000269|PubMed:20513133}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. Other genes may play a role in modifying the phenotype.			P07204;	9606.ENSP00000366307;	1ADX;1DQB;1DX5;1EGT;1FGD;1FGE;1HLT;1TMR;1ZAQ;2ADX;3GIS;5TO3;
P11073	PLYC_DICCH	reviewed	Pectate lyase C (EC 4.2.2.2)	pelC	Dickeya chrysanthemi (Pectobacterium chrysanthemi) (Erwinia chrysanthemi)	375								1AIR;1O88;1O8D;1O8E;1O8F;1O8G;1O8H;1O8I;1O8J;1O8K;1O8L;1O8M;1PLU;2EWE;2PEC;
P50097	IMDH_TRIFO	reviewed	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH	Tritrichomonas foetus (Trichomonas foetus) (Tritrichomonas suis)	503					"MUTAGEN 319;  /note=""C->S: Has less than 0.06% of the wild-type activity."";  /evidence=""ECO:0000269|PubMed:10029522"""			1AK5;1LRT;1ME7;1ME8;1ME9;1MEH;1MEI;1MEW;1PVN;
Q03023	APRA_PSEAE	reviewed	Serralysin (EC 3.4.24.40) (Alkaline metalloproteinase) (AP)	aprA PA1249	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	479								1AKL;1JIW;1KAP;3VI1;
P17153	ANXA5_CHICK	reviewed	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)	ANXA5 ANX5	Gallus gallus (Chicken)	321						P17153;	9031.ENSGALP00000019365;	1ALA;1YII;1YJ0;
P04789	TPIS_TRYBB	reviewed	Triosephosphate isomerase, glycosomal (TIM) (Triose-phosphate isomerase) (EC 5.3.1.1)		Trypanosoma brucei brucei	250								1AG1;1DKW;1IIG;1IIH;1KV5;1ML1;1MSS;1MTM;1TPD;1TPE;1TPF;1TRD;1TRI;1TSI;1TTI;1TTJ;2J24;2J27;2V0T;2V2C;2V2D;2V2H;2V5L;2VEI;2VEK;2VEL;2VEM;2VEN;2WSQ;2WSR;2X16;2X1R;2X1S;2X1T;2X1U;2X2G;2Y6Z;2Y70;3Q37;3TIM;4JEQ;4PC8;4PCF;4TIM;5I3F;5I3G;5I3H;5I3I;5I3J;5I3K;5TIM;6TIM;
