Reviewed	Classification	Entry	Title	PDB chain IDs
FALSE	4.1	P00929	Tryptophan synthase alpha chain OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=trpA PE=1 SV=1	1a50A,1a5aA,1a5bA,1a5sA,1beuA,1bksA,1c29A,1c8vA,1c9dA,1cw2A,1cx9A,1fuyA,1k3uA,1k7eA,1k7fA,1k7xA,1k8xA,1k8yA,1k8zA,1kfbA,1kfcA,1kfeA,1kfjA,1kfkA,1qopA,1qoqA,1tjpA,1ttpA,1ttqA,1ubsA,1wbjA,2cleA,2clfA,2clhA,2cliA,2clkA,2cllA,2clmA,2cloA,2j9xA,2j9yA,2j9zA,2rh9A,2rhgA,2trsA,2tsyA,2tysA,2wsyA,3cepA,3pr2A,4hn4A,4hpjA,4hpxA,4ht3A,4kkxA,4wx2A,4xugA,4y6gA,4zqcA,5bw6A,5cgqA,6c73A,6d0vA,6ducA,6dz4A,6dzoA,6o1hA,6osoA,6ouyA
FALSE	4.1	P06632	2,5-diketo-D-gluconic acid reductase A OS=Corynebacterium sp. (strain ATCC 31090) OX=268952 GN=dkgA PE=1 SV=3	1a80A,1hw6A,1m9hA
TRUE	3.3	P42771	Cyclin-dependent kinase inhibitor 2A OS=Homo sapiens OX=9606 GN=CDKN2A PE=1 SV=2	1a5eA,1bi7B,1dc2A,2a5eA
TRUE	3.2	P09661	U2 small nuclear ribonucleoprotein A' OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2	1a9nA,1a9nC,5mqfW,5o9zz,5xjco,5yzgo,5z56o,5z57o,5z58o,6ah0o,6ahdo,6ff7W,6iczo,6id0o,6id1o,6qdvW,6qx92A,6y53a,6y5qa
FALSE	5.1	P14668	Annexin A5 OS=Rattus norvegicus OX=10116 GN=Anxa5 PE=1 SV=3	1a8aA,1a8bA,1bc0A,1bc1A,1bc3A,1bcwA,1bcyA,1bczA,1g5nA,1n41A,1n42A,1n44A,2h0kA,2h0kB,2h0lA,2h0mA,2ie6A,2ie7A,2ranA
FALSE	5.1	P26256	Annexin-B12 OS=Hydra vulgaris OX=6087 GN=ANXB12 PE=1 SV=1	1aeiA,1aeiB,1aeiC,1aeiD,1aeiE,1aeiF,1dm5A,1dm5B,1dm5C,1dm5D,1dm5E,1dm5F
FALSE	5.2	P07204	Thrombomodulin OS=Homo sapiens OX=9606 GN=THBD PE=1 SV=2	1adxA,1dqbA,1dx5I,1dx5J,1dx5K,1dx5L,1egtA,1fgdA,1fgeA,1hltR,1tmrA,1zaqA,2adxA,3gisX,3gisY,3gisZ,5to3B
FALSE	3.1	P11073	Pectate lyase C OS=Dickeya chrysanthemi OX=556 GN=pelC PE=1 SV=1	1airA,1o88A,1o8dA,1o8eA,1o8fA,1o8gA,1o8hA,1o8iA,1o8jA,1o8kA,1o8lA,1o8mA,1pluA,2eweA,2pecA
FALSE	4.1	P50097	Inosine-5'-monophosphate dehydrogenase OS=Tritrichomonas foetus OX=56690 GN=IMPDH PE=1 SV=1	1ak5A,1lrtA,1lrtB,1lrtC,1lrtD,1me7A,1me8A,1me9A,1mehA,1meiA,1mewA,1pvnA,1pvnB,1pvnC,1pvnD
FALSE	3.1	Q03023	Serralysin OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=aprA PE=1 SV=1	1aklA,1jiwP,1kapP,3vi1A,3vi1B
TRUE	5.1	P17153	Annexin A5 OS=Gallus gallus OX=9031 GN=ANXA5 PE=1 SV=2	1alaA,1yiiA,1yj0A
FALSE	4.1	P04789	Triosephosphate isomerase, glycosomal OS=Trypanosoma brucei brucei OX=5702 PE=1 SV=2	1ag1O,1ag1T,1dkwA,1dkwB,1iigA,1iigB,1iihA,1iihB,1kv5A,1kv5B,1ml1A,1ml1C,1ml1E,1ml1G,1ml1I,1ml1K,1mssA,1mssB,1tpdA,1tpdB,1tpeA,1tpfA,1tpfB,1trdA,1trdB,1triA,1tsiA,1tsiB,1ttiA,1ttjA,2j24A,2j24B,2j27A,2j27B,2v0tA,2v0tB,2v0tC,2v0tD,2v0tE,2v0tF,2v0tG,2v0tH,2v2cA,2v2dA,2v2hA,2v2hB,2v2hC,2v5lA,2v5lB,2veiA,2veiB,2veiC,2vekA,2vekB,2velA,2velB,2vemA,2vemB,2venA,2venB,2wsqA,2wsqB,2wsqC,2wsqD,2wsrA,2x16A,2x16B,2x1rA,2x1rB,2x1sA,2x1sB,2x1tA,2x1tB,2x1uA,2x1uB,2x2gA,2x2gB,2y6zA,2y70A,2y70B,2y70C,2y70D,3timA,3timB,4jeqA,4jeqB,4jeqC,4jeqD,4jeqE,4jeqF,4jeqG,4jeqH,4jeqI,4jeqJ,4jeqK,4jeqL,4pc8A,4pcfA,4pcfB,4pcfC,4timA,4timB,5i3fA,5i3fB,5i3fC,5i3fD,5i3gA,5i3gB,5i3gC,5i3gD,5i3hA,5i3hB,5i3iA,5i3iB,5i3iC,5i3iD,5i3jA,5i3jB,5i3kA,5i3kB,5i3kC,5i3kD,5timA,5timB,6timA,6timB
FALSE	4.4,5.2,4.4,5.2	P01130	Low-density lipoprotein receptor OS=Homo sapiens OX=9606 GN=LDLR PE=1 SV=1	1ajjA,1d2jA,1f5yA,1f8zA,1hj7A,1hz8A,1i0uA,1ijqA,1ijqB,1ldlA,1ldrA,1n7dA,1xfeA,2fcwB,2kriB,2lgpA,2m7pA,2mg9A,2w2mE,2w2nE,2w2oE,2w2pE,2w2qE,3bpsE,3gcwE,3gcxE,3m0cC,3p5bL,3p5cL,3so6Q,4ne9D,5oy9D,5oylD
FALSE	2.2,3.4,3.1,3.3	P10104	Fibritin OS=Enterobacteria phage T4 OX=10665 GN=wac PE=1 SV=5	1aa0A,1avyA,1avyB,1avyC,1ox3A,1rfoA,1rfoB,1rfoC,1v1hA,1v1hB,1v1hC,1v1hD,1v1hE,1v1hF,1v1iA,1v1iB,1v1iC,2bsgA,2bsgB,2bsgC,2kblA,3a1mA,3a1mB,3a1mC,3a1mD,3a1mE,3a1mF,3j2oA,3j2oB,3j2oC,3j2oD,3j2oE,3j2oF,4mmqB,4mmrB,4mmsB,4mmsD,4mmsF,4mmtB,4mmuB,4mmvB,4ncuA,4ncvA,4ncvB,4ncvC,4ncwA,4ncwB,4ncwC,5tdlA,6apdA,6apdB,6apdC,6cnvB,6crvA,6crvB,6crvC,6crwA,6crwB,6crwC,6crzA,6crzB,6crzC,6cs0A,6cs0B,6cs0C,6cs1A,6cs1B,6cs1C,6cs2A,6cs2B,6cs2C,6jx7A,6jx7B,6jx7C,6oe5A,6z97A,6z97B,6z97C,6zghA,6zghB,6zghC,6zhdA,6zhdB,6zhdC
FALSE	4.4	P72181	Nitrite reductase OS=Paracoccus pantotrophus OX=82367 GN=nirS PE=1 SV=2	1aofA,1aofB,1aomA,1aomB,1aoqA,1aoqB,1dy7A,1dy7B,1e2rA,1e2rB,1gq1A,1gq1B,1h9xA,1h9xB,1h9yA,1h9yB,1hcmA,1hcmB,1hj3A,1hj3B,1hj4A,1hj4B,1hj5A,1hj5B,1qksA,1qksB
FALSE	3.3	Q60773	Cyclin-dependent kinase 4 inhibitor D OS=Mus musculus OX=10090 GN=Cdkn2d PE=1 SV=2	1ap7A,1blxB
FALSE	5.1	P08758	Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2	1anwA,1anwB,1anxA,1anxB,1anxC,1avhA,1avhB,1avrA,1hakA,1hakB,1hvdA,1hveA,1hvfA,1hvgA,1savA,2xo2A,2xo3A,6k22A,6k25A
FALSE	5.5	Q53654	Collagen adhesin OS=Staphylococcus aureus OX=1280 GN=cna PE=1 SV=1	1amxA,1d2oA,1d2oB,1d2pA,2f68X,2f6aA,2f6aB,2f6aC,2f6aD
FALSE	4.2	P27485	Retinol-binding protein 4 OS=Sus scrofa OX=9823 GN=RBP4 PE=1 SV=2	1aqbA
FALSE	4.1	P50921	Triosephosphate isomerase OS=Moritella marina OX=90736 GN=tpiA PE=1 SV=1	1aw1A,1aw1B,1aw1D,1aw1E,1aw1G,1aw1H,1aw1J,1aw1K,1aw2A,1aw2B,1aw2D,1aw2E,1aw2G,1aw2H,1aw2J,1aw2K
FALSE	3.3	Q00420	GA-binding protein subunit beta-1 OS=Mus musculus OX=10090 GN=Gabpb1 PE=1 SV=2	1awcB
FALSE	4.2	P02701	Avidin OS=Gallus gallus OX=9031 GN=AVD PE=1 SV=3	1avdA,1avdB,1aveA,1aveB,1ij8A,1ij8B,1ldoA,1ldoB,1ldqA,1ldqB,1lelA,1lelB,1nqnA,1nqnB,1ravA,1ravB,1vyoA,1vyoB,2a5bA,2a5bB,2a5cA,2a5cB,2a8gA,2a8gB,2aviA,2aviB,2c4iA,2camA,2camB,2jgsA,2jgsB,2jgsC,2jgsD,2mf6A,2mf6B,2mf6C,2mf6D,3fdcA,3fdcB,3mm0A,3mm0B,3mm0C,3mm0D,3mm0E,3mm0F,3mm0G,3mm0H,3mm0I,3mm0K,3mm0M,3mm0N,3vgwA,3vgwB,3vgwC,3vgwD,3vgwE,3vgwF,3vgwG,3vgwH,3vhhA,3vhhB,3vhhC,3vhhD,3vhiA,3vhiB,3vhiC,3vhiD,3vhmA,3vhmB,3vhmC,3vhmD,4i60A,4jhqA,4jhqB,4u46A,4u46B,5chkA,5hlmA,5hlmB,5hlmC,5hlmD,5iruA,5iruB,5iruC,5iruD,5irwA,5irwB,5irwC,5irwD,5lurA,5lurB,5myqA,5myqB,5myqC,5myqD
TRUE	4.3	P01070	Trypsin inhibitor A OS=Glycine max OX=3847 GN=KTI3 PE=1 SV=2	1avuA,1avwB,1avxB,1ba7A,1ba7B,6nttA,6nttB,6o1fI
FALSE	3.6	P12004	Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1	1axcA,1axcC,1axcE,1u76A,1u76C,1u76E,1u7bA,1ul1A,1ul1B,1ul1C,1vyjA,1vyjC,1vyjE,1vyjG,1vyjI,1vyjK,1vymA,1vymB,1vymC,1w60A,1w60B,2zvkA,2zvkB,2zvkC,2zvlA,2zvlB,2zvlC,2zvlD,2zvlE,2zvlF,2zvmA,2zvmB,2zvmC,3ja9A,3ja9B,3ja9C,3p87A,3p87B,3p87C,3p87D,3p87E,3p87F,3tblA,3tblB,3tblC,3vkxA,3wgwA,3wgwB,4d2gA,4d2gB,4d2gC,4rjfA,4rjfC,4rjfE,4ztdA,4ztdB,4ztdC,5e0tA,5e0tB,5e0tC,5e0uA,5e0uB,5e0uC,5e0vA,5e0vB,5iy4A,5iy4C,5iy4E,5mavA,5mavB,5mavC,5mavD,5mavE,5mavF,5mloA,5mloC,5mloE,5mlwA,5mlwC,5mlwE,5momA,5momB,5momC,5ycoA,5ycoB,5ycoC,5ycoD,5yd8X,5yd8Y,5yd8Z,6cbiA,6cbiB,6cbiC,6cbiD,6cbiE,6cbiF,6ehtA,6ehtB,6ehtC,6fcmA,6fcmC,6fcmE,6fcnA,6fcnC,6fcnE,6gisA,6gisB,6gisC,6gwsA,6gwsB,6gwsC,6hvoA,6hvoB,6hvoC,6k3aA,6k3aC,6k3aE,6qc0A,6qc0C,6qc0E,6qcgA,6qcgB,6qcgC,6qcgD,6qcgE,6qcgF,6s1mE,6s1mF,6s1mG,6s1nE,6s1nF,6s1nG,6s1oE,6s1oF,6s1oG,6tnyE,6tnyF,6tnyG,6tnzE,6tnzF,6tnzG,6vvoF,6vvoG,6vvoH
FALSE	4.2,4.4	P02754	Beta-lactoglobulin OS=Bos taurus OX=9913 GN=LGB PE=1 SV=3	1b0oA,1b8eA,1bebA,1bebB,1bsoA,1bsqA,1bsyA,1cj5A,1dv9A,1gx8A,1gx9A,1gxaA,1qg5A,1uz2X,2akqA,2akqB,2akqC,2akqD,2blgA,2gj5A,2q2mA,2q2pA,2q39A,2q39B,2r56A,2r56B,3blgA,3npoA,3nq3A,3nq9A,3ph5A,3ph5B,3ph6A,3ph6B,3ueuA,3uevA,3uewA,3uexA,4dq3A,4dq4A,4gnyA,4ib6A,4ib7A,4ib8A,4ib9A,4ibaA,4kiiA,4lzuA,4lzvA,4y0pA,4y0qA,4y0rA,5htdA,5hteA,5io5A,5io7A,5k06A,5lkeA,5lkfA,5nujA,5nukA,5numA,5nunA,5y5cA,5y5cB,6fxbA,6fxbB,6fxbC,6fxbD,6ge7A,6gf9A,6gfsA,6ghhA,6nkqA,6nkqB,6nkqC,6nkqD,6nkqE,6nkqF,6qi6A,6qi7A,6qpdA,6qpeA,6rwpA,6rwqA,6rwrA,6rytA,6rytB,6t42AAA,6xveA
FALSE	4.2	P06768	Retinol-binding protein 2 OS=Rattus norvegicus OX=10116 GN=Rbp2 PE=1 SV=3	1b4mA,1eiiA,1opaA,1opaB,1opbA,1opbB,1opbC,1opbD
FALSE	3.3	P30153	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R1A PE=1 SV=4	1b3uA,1b3uB,2ie3A,2ie4A,2nppA,2nppD,2nylA,2nylD,2nymA,2nymD,2pkgA,2pkgB,3c5wA,3dw8A,3dw8D,3k7vA,3k7wA,4i5lA,4i5lD,4i5nA,4i5nD,4lacA,5w0wA,5w0wD,5w0wG,5w0wJ,6iurA,6iurB,6iurE,6iurF,6ntsA
FALSE	4.2,4.4	Q01469	Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3	1b56A,1jjjA,4azmA,4azmB,4azrA,4azrB,4lkpA,4lktA,4lktB,4lktC,4lktD,5hz5A,5ur9A,5ur9B,5ur9C,5ur9D,5ur9E,5ur9F,5ur9G,5ur9H
FALSE	4.1	P0AEZ1	5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) OX=83333 GN=metF PE=1 SV=1	1b5tA,1b5tB,1b5tC,1zp3A,1zp3B,1zp3C,1zp4A,1zp4B,1zp4C,1zptA,1zptB,1zptC,1zrqA,1zrqB,1zrqC,2fmnA,2fmnB,2fmnC,2fmoA,2fmoB,2fmoC,3fstA,3fstC,3fstE,3fsuA,3fsuC,3fsuE,6peyA,6peyB,6peyC
FALSE	3.3	P02945	Bacteriorhodopsin OS=Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) OX=64091 GN=bop PE=1 SV=2	1ap9A,1at9A,1bctA,1bhaA,1bhbA,1bm1A,1brdA,1brrA,1brrB,1brrC,1brxA,1c3wA,1c8rA,1c8sA,1cwqA,1cwqB,1dzeA,1e0pA,1f4zA,1f50A,1fbbA,1fbkA,1iw6A,1iw9A,1ixfA,1jv6A,1jv7A,1kg8A,1kg9A,1kgbA,1kmeA,1kmeB,1l0mA,1m0kA,1m0lA,1m0mA,1mgyA,1o0aA,1p8hA,1p8iA,1p8uA,1pxrA,1pxrB,1pxsA,1pxsB,1py6A,1py6B,1q5iA,1q5iB,1q5jA,1q5jB,1qhjA,1qkoA,1qkpA,1qm8A,1r2nA,1r84A,1s51A,1s51B,1s52A,1s52B,1s53A,1s53B,1s54A,1s54B,1s8jA,1s8lA,1tn0A,1tn0B,1tn5A,1tn5B,1ucqA,1vjmA,1x0i1,1x0k1,1x0sA,1xjiA,2at9A,2brdA,2i1xA,2i20A,2i21A,2ntuA,2ntwA,2wjkA,2wjlA,2zfeA,2zzlA,3cocA,3cocB,3codA,3codB,3hanA,3haoA,3haoB,3hapA,3haqA,3harA,3hasA,3mbvA,3ns0A,3nsbA,3t45A,3t45B,3t45C,3utvA,3utwA,3utxA,3utxB,3utyA,3utyB,3vhzA,3vi0A,4fpdA,4hwlA,4hwlB,4hyxA,4hyxB,4md1A,4md2A,4ov0A,4x31A,4x32A,4xxjA,4xxjB,4xxjC,5a44A,5a45A,5b34A,5b6vA,5b6wA,5b6xA,5b6yA,5b6zA,5br2A,5br5A,5h2hA,5h2iA,5h2jA,5h2kA,5h2lA,5h2mA,5h2nA,5h2oA,5h2pA,5j7aA,5vn7A,5vn7B,5vn9A,5vn9B,5zilA,5zimA,5zinA,6g7hA,6g7iA,6g7jA,6g7kA,6g7lA,6ga1A,6ga2A,6ga3A,6ga4A,6ga5A,6ga6A,6ga7A,6ga8A,6ga9A,6gaaA,6gabA,6gacA,6gadA,6gaeA,6gafA,6gagA,6gahA,6gaiA,6rmkA,6rnjA,6rphA,6rqoA,6rqpA
TRUE	4.4	P03474	Neuraminidase OS=Influenza B virus (strain B/Lee/1940) OX=518987 GN=NA PE=1 SV=1	1b9sA,1b9tA,1b9vA,1infA,1invA,1ivbA,1vcjA
FALSE	4.9	P05230	Fibroblast growth factor 1 OS=Homo sapiens OX=9606 GN=FGF1 PE=1 SV=1	1axmA,1axmB,1axmC,1axmD,1axmE,1axmF,1djsB,1dzcA,1dzdA,1e0oA,1e0oC,1evtA,1evtB,1hknA,1hknB,1hknC,1hknD,1hknE,1hknF,1jqzA,1jqzB,1jt3A,1jt3B,1jt4A,1jt4B,1jt5A,1jt5B,1jt7A,1jt7B,1jt7C,1jt7D,1jtcA,1jtcB,1jtcC,1jtcD,1jy0A,1jy0B,1k5uA,1k5uB,1k5uC,1k5vA,1k5vB,1m16A,1m16B,1nzkA,1nzkB,1nzkC,1nzkD,1p63A,1p63B,1pzzA,1pzzB,1q03A,1q03B,1q04A,1q04B,1rg8A,1rg8B,1rmlA,1ry7A,1ytoA,1ytoB,1ytoC,1ytoD,1z2vA,1z2vB,1z4sA,1z4sB,1z4sC,1z4sD,2afgA,2afgB,2afgC,2afgD,2aqzA,2aqzB,2axmA,2axmB,2ermA,2hw9A,2hw9B,2hwaA,2hwaB,2hwmA,2hwmB,2hz9A,2hz9B,2k43A,2k4aB,2k8rA,2ki4A,2ki4D,2ki6B,2ki6E,2ntdA,2ntdB,2ntdC,2ntdD,2q9xA,2rq9A,3b9uA,3ba4A,3ba4B,3ba5A,3ba5B,3ba7A,3ba7B,3badA,3badB,3bagA,3bagB,3bahA,3bahB,3baoA,3baoB,3baqA,3baqB,3bauA,3bauB,3bavA,3bavB,3bb2A,3bb2B,3cqaA,3cqaB,3crgA,3crgB,3crhA,3crhB,3criA,3criB,3cu1B,3cu1D,3fgmA,3fgmB,3fj8A,3fj8B,3fj9A,3fj9B,3fjaA,3fjaB,3fjbA,3fjbB,3fjcA,3fjcB,3fjdA,3fjdB,3fjeA,3fjeB,3fjfA,3fjfB,3fjhA,3fjhB,3fjiA,3fjiB,3fjiC,3fjiD,3fjjA,3fjjB,3fjkA,3fjkB,3fjkC,3fjkD,3homA,3homB,3jutA,3jutB,3jutC,3jutD,3jutE,3jutF,3k1xA,3k1xB,3k1xC,3k1xD,3k1xE,3k1xF,3o3qA,3o3qB,3o3qC,3o3qD,3oj2A,3oj2B,3ojmA,3ojvA,3ojvB,3ud7A,3ud7B,3ud7C,3ud8A,3ud8B,3ud8C,3ud9A,3ud9B,3ud9C,3udaA,3udaB,3udaC,4j23B,4q91A,4q91B,4q9gA,4q9gB,4q9pA,4q9pB,4qalA,4qalB,4qbcA,4qbcB,4qbvA,4qbvB,4qc4A,4qc4B,4qo3A,4qo3B,4xkiA,4xkiB,4yolA,4yolB
FALSE	3.3	P39476	DNA-binding protein 7d OS=Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) OX=273057 GN=sso7d PE=1 SV=2	1bbxC,1bbxD,1bnzA,1c8cA,5b02A,5b02B,5b02C,5b02D,5b03A,5b03B,5b03C,5b03D,5b0iA,5b0iB,5b0iC,5b0iD,5b0jA,5b0jB,5b0jC,5b0jD,5b0kA,5b0kB,5b0kC,5b0kD,5b0lA,5b0lB,5b0lC,5b0lD,5b0lE,5b0lF,5b0lG,5b0lH,5b0mA,5b0mB,5b0mC,5b0mD,5b0mE,5b0mF,5b0mG,5b0mH,5gwvA,5gwvB,5gwvC,5gwvD,5gwwA,5gwwB,5gwwC,5gwwD,6j8vA,6j8vB,6j8vC,6j8vD,6j8wA,6j8wB,6j8wC,6j8wD
